"CAN-EAT","CAP_SHAPE","CAP_SURFACE","CAP_COLOR","BRUISES","ODOR","GILL_ATTACHMENT","GILL_SPACING","GILL_SIZE","GILL_COLOR","STALK_SHAPE","STALK_ROOT","STALK_SURFACE_ABOVE_RING","STALK_SURFACE_BELOW_RING","STALK_COLOR_ABOVE_RING","STALK_COLOR_BELOW_RING","VEIL_TYPE","VEIL_COLOR","RING_NUMBER","RING_TYPE","SPORE_PRINT_COLOR","POPULATION","HABITAT"
"EDIBLE","CONVEX","FIBROUS","WHITE","BRUISES","ALMOND","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","YELLOW","BRUISES","ANISE","FREE","CROWDED","NARROW","WHITE","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","WOODS"
"EDIBLE","FLAT","FIBROUS","WHITE","BRUISES","ALMOND","FREE","CROWDED","NARROW","WHITE","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","BELL","SMOOTH","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","BELL","SMOOTH","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","GRASSES"
"EDIBLE","BELL","SMOOTH","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","GRASSES"
"EDIBLE","BELL","SCALY","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"EDIBLE","BELL","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","MEADOWS"
"EDIBLE","BELL","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","MEADOWS"
"EDIBLE","BELL","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","BELL","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","MEADOWS"
"EDIBLE","BELL","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","CONVEX","SCALY","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SCALY","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","PATHS"
"EDIBLE","CONVEX","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","PATHS"
"EDIBLE","CONVEX","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","PINK","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","BROWN","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","GRASSES"
"EDIBLE","CONVEX","SCALY","BROWN","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","PATHS"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","PINK","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","PATHS"
"EDIBLE","SUNKEN","FIBROUS","BROWN","NO","NONE","FREE","CLOSE","NARROW","PINK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","URBAN"
"EDIBLE","SUNKEN","FIBROUS","BROWN","NO","NONE","FREE","CLOSE","NARROW","BLACK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","URBAN"
