"CAN_EAT","CAP_SHAPE","CAP_SURFACE","CAP_COLOR","BRUISES","ODOR","GILL_ATTACHMENT","GILL_SPACING","GILL_SIZE","GILL_COLOR","STALK_SHAPE","STALK_ROOT","STALK_SURFACE_ABOVE_RING","STALK_SURFACE_BELOW_RING","STALK_COLOR_ABOVE_RING","STALK_COLOR_BELOW_RING","VEIL_TYPE","VEIL_COLOR","RING_NUMBER","RING_TYPE","SPORE_PRINT_COLOR","POPULATION","HABITAT"
"EDIBLE","CONVEX","FIBROUS","YELLOW","BRUISES","ALMOND","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","YELLOW","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","FLAT","FIBROUS","WHITE","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","FLAT","FIBROUS","YELLOW","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","WOODS"
"EDIBLE","BELL","SMOOTH","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","BELL","SMOOTH","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","GRAY","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
